Design,Dt (mm),Rc (mm),P (mm),V (mL),Ren,f (Hz),xo (mm),N1,N2,N3,N4,N5,Navg,Nstd
R1,5,12.5,10,16.48,10,0,0,10,15,11,,,12,2.6
R1,5,12.5,10,16.48,10,1,1,14,13,12,,,13,1
R1,5,12.5,10,16.48,10,2,1,13,12,12,,,12.3,0.6
R1,5,12.5,10,16.48,10,3,1,9,12,13,,,11.3,2.1
R1,5,12.5,10,16.48,10,4,1,10,15,10,,,11.7,2.9
R1,5,12.5,10,16.48,10,5,1,11,12,10,,,11,1
R1,5,12.5,10,16.48,10,6,1,10,12,10,,,10.7,1.2
R1,5,12.5,10,16.48,10,7,1,14,14,16,,,14.7,1.2
R1,5,12.5,10,16.48,10,8,1,14,15,13,,,14,1
R1,5,12.5,10,16.48,10,1,2,22,29,34,,,28.3,6
R1,5,12.5,10,16.48,10,2,2,63,58,68,,,63,5
R1,5,12.5,10,16.48,10,3,2,90,92,88,,,90,2
R1,5,12.5,10,16.48,10,4,2,70,,72,,,71,1.4
R1,5,12.5,10,16.48,10,5,2,40,35,65,,,46.7,16.1
R1,5,12.5,10,16.48,10,6,2,29,30,72,,,43.7,24.5
R1,5,12.5,10,16.48,10,7,2,40,53,80,,,57.7,20.4
R1,5,12.5,10,16.48,10,1,3,45,34,43,,,40.7,5.9
R1,5,12.5,10,16.48,10,2,3,70,64,65,,,66.3,3.2
R1,5,12.5,10,16.48,10,3,3,40,37,40,,,39,1.7
R1,5,12.5,10,16.48,10,4,3,23,25,29,,,25.7,3.1
R1,5,12.5,10,16.48,10,5,3,20,20,19,,,19.7,0.6
R1,5,12.5,10,16.48,10,6,3,19,20,40,,,26.3,11.8
R1,5,12.5,10,16.48,10,1,4,63,62,39,,,54.7,13.6
R1,5,12.5,10,16.48,10,2,4,25,40,36,,,33.7,7.8
R1,5,12.5,10,16.48,10,3,4,19,25,23,,,22.3,3.1
R1,5,12.5,10,16.48,10,4,4,14,16,18,,,16,2
R1,5,12.5,10,16.48,10,5,4,12,14,15,,,13.7,1.5
R1,5,12.5,10,16.48,10,6,4,11,17,17,,,15,3.5
R1,5,12.5,10,16.48,10,1,8,13,13,14,,,13.3,0.6
R1,5,12.5,10,16.48,10,2,8,9,9,9,,,9,0
R1,5,12.5,10,16.48,10,3,8,7,8,8,,,7.7,0.6
R1,5,12.5,10,16.48,10,4,8,6,7,7,,,6.7,0.6
R1,5,12.5,10,16.48,20,0,0,13,11,14,,,12.7,1.5
R1,5,12.5,10,16.48,20,1,1,10,12,10,,,10.7,1.2
R1,5,12.5,10,16.48,20,2,1,13,15,10,,,12.7,2.5
R1,5,12.5,10,16.48,20,3,1,11,,11,,,11,0
R1,5,12.5,10,16.48,20,4,1,14,15,10,,,13,2.6
R1,5,12.5,10,16.48,20,5,1,12,15,12,,,13,1.7
R1,5,12.5,10,16.48,20,6,1,13,15,13,,,13.7,1.2
R1,5,12.5,10,16.48,20,7,1,17,16,15,,,16,1
R1,5,12.5,10,16.48,20,8,1,17,,15,,,16,1.4
R1,5,12.5,10,16.48,20,1,2,32,30,22,,,28,5.3
R1,5,12.5,10,16.48,20,2,2,56,47,38,,,47,9
R1,5,12.5,10,16.48,20,3,2,128,92,72,,,97.3,28.4
R1,5,12.5,10,16.48,20,4,2,82,92,83,,,85.7,5.5
R1,5,12.5,10,16.48,20,5,2,46,76,60,,,60.7,15
R1,5,12.5,10,16.48,20,6,2,66,60,51,,,59,7.5
R1,5,12.5,10,16.48,20,7,2,69,68,60,,,65.7,4.9
R1,5,12.5,10,16.48,20,1,3,29,38,29,,,32,5.2
R1,5,12.5,10,16.48,20,2,3,65,67,70,,,67.3,2.5
R1,5,12.5,10,16.48,20,3,3,56,52,54,,,54,2
R1,5,12.5,10,16.48,20,4,3,42,38,48,,,42.7,5
R1,5,12.5,10,16.48,20,5,3,33,32,32,,,32.3,0.6
R1,5,12.5,10,16.48,20,6,3,29,45,40,,,38,8.2
R1,5,12.5,10,16.48,20,1,4,50,44,31,,,41.7,9.7
R1,5,12.5,10,16.48,20,2,4,38,43,36,,,39,3.6
R1,5,12.5,10,16.48,20,3,4,38,37,38,,,37.7,0.6
R1,5,12.5,10,16.48,20,4,4,21,24,25,,,23.3,2.1
R1,5,12.5,10,16.48,20,5,4,18,20,24,,,20.7,3.1
R1,5,12.5,10,16.48,20,6,4,18,17,28,,,21,6.1
R1,5,12.5,10,16.48,20,1,8,20,20,20,,,20,0
R1,5,12.5,10,16.48,20,2,8,17,13,16,,,15.3,2.1
R1,5,12.5,10,16.48,20,3,8,12,10,12,,,11.3,1.2
R1,5,12.5,10,16.48,20,4,8,11,9,11,,,10.3,1.2
R1,5,12.5,10,16.48,30,0,0,15,13,17,,,15,2
R1,5,12.5,10,16.48,30,1,1,14,12,18,,,14.7,3.1
R1,5,12.5,10,16.48,30,2,1,13,18,14,,,15,2.6
R1,5,12.5,10,16.48,30,3,1,11,13,14,,,12.7,1.5
R1,5,12.5,10,16.48,30,4,1,12,13,20,,,15,4.4
R1,5,12.5,10,16.48,30,5,1,40,11,17,,,22.7,15.3
R1,5,12.5,10,16.48,30,6,1,22,11,13,,,15.3,5.9
R1,5,12.5,10,16.48,30,7,1,25,13,20,,,19.3,6
R1,5,12.5,10,16.48,30,8,1,25,12,16,,,17.7,6.7
R1,5,12.5,10,16.48,30,1,2,24,23,24,,,23.7,0.6
R1,5,12.5,10,16.48,30,2,2,33,34,44,,,37,6.1
R1,5,12.5,10,16.48,30,3,2,57,67,70,,,64.7,6.8
R1,5,12.5,10,16.48,30,4,2,90,105,74,,,89.7,15.5
R1,5,12.5,10,16.48,30,5,2,94,102,88,,,94.7,7
R1,5,12.5,10,16.48,30,6,2,96,96,86,,,92.7,5.8
R1,5,12.5,10,16.48,30,7,2,82,46,50,,,59.3,19.7
R1,5,12.5,10,16.48,30,1,3,24,23,23,,,23.3,0.6
R1,5,12.5,10,16.48,30,2,3,70,63,62,,,65,4.4
R1,5,12.5,10,16.48,30,3,3,64,62,57,,,61,3.6
R1,5,12.5,10,16.48,30,4,3,51,53,54,,,52.7,1.5
R1,5,12.5,10,16.48,30,5,3,47,44,45,,,45.3,1.5
R1,5,12.5,10,16.48,30,6,3,39,41,41,,,40.3,1.2
R1,5,12.5,10,16.48,30,1,4,36,28,26,,,30,5.3
R1,5,12.5,10,16.48,30,2,4,34,26,35,,,31.7,4.9
R1,5,12.5,10,16.48,30,3,4,40,42,50,,,44,5.3
R1,5,12.5,10,16.48,30,4,4,32,34,35,,,33.7,1.5
R1,5,12.5,10,16.48,30,5,4,30,30,32,,,30.7,1.2
R1,5,12.5,10,16.48,30,6,4,26,24,32,,,27.3,4.2
R1,5,12.5,10,16.48,30,1,8,25,29,25,,,26.3,2.3
R1,5,12.5,10,16.48,30,2,8,19,20,22,,,20.3,1.5
R1,5,12.5,10,16.48,30,3,8,16,14,18,,,16,2
R1,5,12.5,10,16.48,30,4,8,14,13,16,,,14.3,1.5
R1,5,12.5,10,16.48,40,0,0,13,12,13,,,12.7,0.6
R1,5,12.5,10,16.48,40,1,1,13,12,16,,,13.7,2.1
R1,5,12.5,10,16.48,40,2,1,,12,12,,,12,0
R1,5,12.5,10,16.48,40,3,1,,14,14,,,14,0
R1,5,12.5,10,16.48,40,4,1,,14,10,,,12,2.8
R1,5,12.5,10,16.48,40,5,1,,12,15,,,13.5,2.1
R1,5,12.5,10,16.48,40,6,1,8,12,16,,,12,4
R1,5,12.5,10,16.48,40,7,1,8,14,14,,,12,3.5
R1,5,12.5,10,16.48,40,8,1,8,12,14,,,11.3,3.1
R1,5,12.5,10,16.48,40,1,2,23,23,20,,,22,1.7
R1,5,12.5,10,16.48,40,2,2,32,45,28,,,35,8.9
R1,5,12.5,10,16.48,40,3,2,73,90,52,,,71.7,19
R1,5,12.5,10,16.48,40,4,2,45,90,70,,,68.3,22.5
R1,5,12.5,10,16.48,40,5,2,93,78,95,,,88.7,9.3
R1,5,12.5,10,16.48,40,6,2,76,78,98,,,84,12.2
R1,5,12.5,10,16.48,40,7,2,75,115,94,,,94.7,20
R1,5,12.5,10,16.48,40,1,3,19,17,20,,,18.7,1.5
R1,5,12.5,10,16.48,40,2,3,48,47,50,,,48.3,1.5
R1,5,12.5,10,16.48,40,3,3,48,65,60,,,57.7,8.7
R1,5,12.5,10,16.48,40,4,3,63,65,63,,,63.7,1.2
R1,5,12.5,10,16.48,40,5,3,50,53,59,,,54,4.6
R1,5,12.5,10,16.48,40,6,3,50,66,48,,,54.7,9.9
R1,5,12.5,10,16.48,40,1,4,27,28,23,,,26,2.6
R1,5,12.5,10,16.48,40,2,4,31,58,40,,,43,13.7
R1,5,12.5,10,16.48,40,3,4,40,54,58,,,50.7,9.5
R1,5,12.5,10,16.48,40,4,4,34,32,45,,,37,7
R1,5,12.5,10,16.48,40,5,4,28,32,37,,,32.3,4.5
R1,5,12.5,10,16.48,40,6,4,26,32,37,,,31.7,5.5
R1,5,12.5,10,16.48,40,1,8,34,30,28,,,30.7,3.1
R1,5,12.5,10,16.48,40,2,8,23,23,25,,,23.7,1.2
R1,5,12.5,10,16.48,40,3,8,18,17,18,,,17.7,0.6
R1,5,12.5,10,16.48,40,4,8,16,15,18,,,16.3,1.5
R1,5,12.5,10,16.48,50,0,0,8,7,8,,,7.7,0.6
R1,5,12.5,10,16.48,50,1,1,10,10,13,,,11,1.7
R1,5,12.5,10,16.48,50,2,1,8,19,11,,,12.7,5.7
R1,5,12.5,10,16.48,50,3,1,7,24,10,,,13.7,9.1
R1,5,12.5,10,16.48,50,4,1,8,35,10,,,17.7,15
R1,5,12.5,10,16.48,50,5,1,8,21,10,,,13,7
R1,5,12.5,10,16.48,50,6,1,,13,10,,,11.5,2.1
R1,5,12.5,10,16.48,50,7,1,7,10,9,,,8.7,1.5
R1,5,12.5,10,16.48,50,8,1,7,8,9,,,8,1
R1,5,12.5,10,16.48,50,1,2,20,24,18,,,20.7,3.1
R1,5,12.5,10,16.48,50,2,2,24,28,26,,,26,2
R1,5,12.5,10,16.48,50,3,2,37,49,41,,,42.3,6.1
R1,5,12.5,10,16.48,50,4,2,79,103,80,,,87.3,13.6
R1,5,12.5,10,16.48,50,5,2,105,101,84,,,96.7,11.2
R1,5,12.5,10,16.48,50,6,2,102,85,115,,,100.7,15
R1,5,12.5,10,16.48,50,7,2,100,78,82,,,86.7,11.7
R1,5,12.5,10,16.48,50,1,3,20,18,20,,,19.3,1.2
R1,5,12.5,10,16.48,50,2,3,55,47,49,,,50.3,4.2
R1,5,12.5,10,16.48,50,3,3,63,60,62,,,61.7,1.5
R1,5,12.5,10,16.48,50,4,3,63,71,74,,,69.3,5.7
R1,5,12.5,10,16.48,50,5,3,59,59,63,,,60.3,2.3
R1,5,12.5,10,16.48,50,6,3,50,70,54,,,58,10.6
R1,5,12.5,10,16.48,50,1,4,23,27,19,,,23,4
R1,5,12.5,10,16.48,50,2,4,45,52,45,,,47.3,4
R1,5,12.5,10,16.48,50,3,4,51,57,62,,,56.7,5.5
R1,5,12.5,10,16.48,50,4,4,43,44,45,,,44,1
R1,5,12.5,10,16.48,50,5,4,38,39,42,,,39.7,2.1
R1,5,12.5,10,16.48,50,6,4,38,40,39,,,39,1
R1,5,12.5,10,16.48,50,1,8,29,30,32,,,30.3,1.5
R1,5,12.5,10,16.48,50,2,8,27,27,29,,,27.7,1.2
R1,5,12.5,10,16.48,50,3,8,21,23,25,,,23,2
R1,5,12.5,10,16.48,50,4,8,18,20,22,,,20,2
R2,5,22.5,10,17.19,10,0,0,16,13,,,,14.5,2.1
R2,5,22.5,10,17.19,10,1,1,15,15,,,,15,0
R2,5,22.5,10,17.19,10,2,1,15,13,,,,14,1.4
R2,5,22.5,10,17.19,10,3,1,12,16,,,,14,2.8
R2,5,22.5,10,17.19,10,4,1,12,15,,,,13.5,2.1
R2,5,22.5,10,17.19,10,5,1,11,15,,,,13,2.8
R2,5,22.5,10,17.19,10,1,2,37,37,31,,,35,3.5
R2,5,22.5,10,17.19,10,2,2,80,75,83,,,79.3,4
R2,5,22.5,10,17.19,10,3,2,85,72,90,,,82.3,9.3
R2,5,22.5,10,17.19,10,4,2,80,61,73,,,71.3,9.6
R2,5,22.5,10,17.19,10,5,2,75,43,36,,,51.3,20.8
R2,5,22.5,10,17.19,10,1,3,50,57,52,,,53,3.6
R2,5,22.5,10,17.19,10,2,3,94,82,90,,,88.7,6.1
R2,5,22.5,10,17.19,10,3,3,72,40,84,,,65.3,22.7
R2,5,22.5,10,17.19,10,4,3,58,21,57,,,45.3,21.1
R2,5,22.5,10,17.19,10,5,3,35,22,65,,,40.7,22.1
R2,5,22.5,10,17.19,10,1,4,70,68,69,,,69,1
R2,5,22.5,10,17.19,10,2,4,113,83,90,,,95.3,15.7
R2,5,22.5,10,17.19,10,3,4,28,35,39,,,34,5.6
R2,5,22.5,10,17.19,10,4,4,24,7,15,,,15.3,8.5
R2,5,22.5,10,17.19,10,5,4,20,13,8,,,13.7,6
R2,5,22.5,10,17.19,10,1,8,13,15,,,,14,1.4
R2,5,22.5,10,17.19,10,2,8,9,9,,,,9,0
R2,5,22.5,10,17.19,10,3,8,6,7,,,,6.5,0.7
R2,5,22.5,10,17.19,10,4,8,6,7,,,,6.5,0.7
R2,5,22.5,10,17.19,50,0,0,10,12,18,,,13.3,4.2
R2,5,22.5,10,17.19,50,1,1,12,18,15,,,15,3
R2,5,22.5,10,17.19,50,2,1,29,3,18,,,16.7,13.1
R2,5,22.5,10,17.19,50,3,1,12,20,20,,,17.3,4.6
R2,5,22.5,10,17.19,50,4,1,20,10,15,,,15,5
R2,5,22.5,10,17.19,50,5,1,10,16,,,,13,4.2
R2,5,22.5,10,17.19,50,1,2,23,21,20,,,21.3,1.5
R2,5,22.5,10,17.19,50,2,2,42,37,41,,,40,2.6
R2,5,22.5,10,17.19,50,3,2,38,37,42,,,39,2.6
R2,5,22.5,10,17.19,50,4,2,81,64,64,,,69.7,9.8
R2,5,22.5,10,17.19,50,5,2,87,70,93,,,83.3,11.9
R2,5,22.5,10,17.19,50,6,2,55,73,69,,,65.7,9.5
R2,5,22.5,10,17.19,50,7,2,40,29,39,,,36,6.1
R2,5,22.5,10,17.19,50,1,3,30,24,24,,,26,3.5
R2,5,22.5,10,17.19,50,2,3,76,58,53,,,62.3,12.1
R2,5,22.5,10,17.19,50,3,3,89,80,81,,,83.3,4.9
R2,5,22.5,10,17.19,50,4,3,80,68,70,,,72.7,6.4
R2,5,22.5,10,17.19,50,5,3,76,75,73,,,74.7,1.5
R2,5,22.5,10,17.19,50,6,3,67,75,83,,,75,8
R2,5,22.5,10,17.19,50,1,4,36,25,26,,,29,6.1
R2,5,22.5,10,17.19,50,2,4,87,68,70,,,75,10.4
R2,5,22.5,10,17.19,50,3,4,81,77,83,,,80.3,3.1
R2,5,22.5,10,17.19,50,4,4,66,66,65,,,65.7,0.6
R2,5,22.5,10,17.19,50,5,4,58,56,53,,,55.7,2.5
R2,5,22.5,10,17.19,50,1,8,32,26,26,,,28,3.5
R2,5,22.5,10,17.19,50,2,8,26,32,29,,,29,3
R2,5,22.5,10,17.19,50,3,8,16,28,25,,,23,6.2
R2,5,22.5,10,17.19,50,4,8,19,22,22,,,21,1.7
R3,5,32.5,10,17.55,10,0,0,16,12,12,,,13.3,2.3
R3,5,32.5,10,17.55,10,1,1,13,17,14,,,14.7,2.1
R3,5,32.5,10,17.55,10,2,1,11,14,12,,,12.3,1.5
R3,5,32.5,10,17.55,10,3,1,12,12,12,,,12,0
R3,5,32.5,10,17.55,10,4,1,10,12,12,,,11.3,1.2
R3,5,32.5,10,17.55,10,5,1,10,14,12,,,12,2
R3,5,32.5,10,17.55,10,1,2,28,28,32,,,29.3,2.3
R3,5,32.5,10,17.55,10,2,2,65,64,60,,,63,2.6
R3,5,32.5,10,17.55,10,3,2,65,69,70,,,68,2.6
