# Region type : patch outlet
# Faces       : 320
# Area        : 1.950845e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.2e-06       	0.000000e+00
2.64e-06      	0.000000e+00
4.368e-06     	0.000000e+00
6.4416e-06    	0.000000e+00
8.92992e-06   	0.000000e+00
1.19159e-05   	0.000000e+00
1.54991e-05   	0.000000e+00
1.97989e-05   	0.000000e+00
2.49587e-05   	0.000000e+00
3.11504e-05   	0.000000e+00
3.85805e-05   	0.000000e+00
4.74965e-05   	0.000000e+00
5.81958e-05   	0.000000e+00
7.1035e-05    	0.000000e+00
8.6442e-05    	0.000000e+00
0.00010493    	0.000000e+00
0.000127116   	0.000000e+00
0.00015374    	0.000000e+00
0.000185688   	0.000000e+00
0.000224025   	0.000000e+00
0.00027003    	0.000000e+00
0.000325236   	0.000000e+00
0.000391483   	0.000000e+00
0.00047098    	0.000000e+00
0.000566376   	0.000000e+00
0.00068085    	0.000000e+00
0.000818221   	0.000000e+00
0.000983063   	0.000000e+00
0.00118087    	0.000000e+00
0.00141824    	0.000000e+00
0.0017031     	0.000000e+00
0.00204491    	0.000000e+00
0.00245508    	0.000000e+00
0.0029473     	0.000000e+00
0.00353797    	0.000000e+00
0.00424679    	0.000000e+00
0.00509742    	0.000000e+00
0.00611825    	0.000000e+00
0.00734314    	0.000000e+00
0.00881286    	0.000000e+00
0.0105765     	0.000000e+00
0.0126925     	0.000000e+00
0.0152319     	0.000000e+00
0.0182788     	0.000000e+00
0.0219337     	0.000000e+00
0.0263197     	0.000000e+00
0.0315829     	0.000000e+00
0.037896      	0.000000e+00
0.0454717     	0.000000e+00
0.0545626     	0.000000e+00
0.0654797     	2.639300e-297
0.0785686     	7.114844e-268
0.094292      	1.742370e-240
0.11316       	5.717133e-215
0.135784      	2.173127e-190
0.162959      	2.651110e-164
0.195641      	1.276890e-135
0.235021      	7.556116e-113
0.280839      	-4.168251e-95
0.333274      	-1.758736e-79
0.392346      	-5.641609e-70
0.455465      	-9.101889e-62
0.517719      	-3.517132e-58
0.579973      	-1.655877e-55
0.642226      	1.394398e-54
0.70448       	6.124588e-54
0.766734      	-3.921641e-54
0.828988      	-1.905837e-53
0.891242      	-1.981287e-52
0.953496      	-2.649500e-51
1.01575       	-2.864262e-50
1.078         	-2.478838e-49
1.14026       	-2.189094e-48
1.20251       	-1.560522e-47
1.26477       	-9.314833e-47
1.32702       	-4.205323e-46
1.38927       	-9.503147e-46
1.45153       	4.640987e-45
1.51378       	8.156734e-44
1.57604       	6.990643e-43
1.63829       	4.647995e-42
1.70054       	2.646772e-41
1.7628        	1.343366e-40
1.82505       	6.208514e-40
1.8873        	2.549185e-39
1.94956       	9.895650e-39
2.01181       	3.685183e-38
2.07407       	1.347938e-37
2.13632       	4.988234e-37
2.19857       	1.923001e-36
2.26083       	7.835676e-36
2.32308       	3.337457e-35
2.38534       	1.441758e-34
2.44759       	6.115025e-34
2.50984       	2.479951e-33
2.5721        	9.433217e-33
2.63435       	3.306870e-32
2.69661       	1.042833e-31
2.75886       	2.817857e-31
2.82111       	5.636445e-31
2.88337       	1.909475e-31
2.94562       	-5.874614e-30
3.00787       	-4.166309e-29
3.07013       	-2.048040e-28
3.13238       	-8.492687e-28
3.19464       	-3.146300e-27
3.25689       	-1.064736e-26
3.31914       	-3.289921e-26
3.3814        	-9.267470e-26
3.44365       	-2.333253e-25
3.50591       	-4.964950e-25
3.56816       	-7.209445e-25
3.63041       	4.203212e-25
3.69267       	9.211412e-24
3.75492       	5.016337e-23
3.81718       	2.094693e-22
3.87943       	7.684705e-22
3.94168       	2.622431e-21
4.00394       	8.389665e-21
4.06619       	2.553674e-20
4.12845       	7.466245e-20
4.1907        	2.109846e-19
4.25295       	5.780320e-19
4.31521       	1.541399e-18
4.37746       	4.012259e-18
4.43971       	1.020471e-17
4.50197       	2.540310e-17
4.56422       	6.192210e-17
4.62648       	1.478656e-16
4.68873       	3.459814e-16
4.75098       	7.934170e-16
4.81324       	1.786384e-15
4.87549       	3.949444e-15
4.93775       	8.590201e-15
5             	1.838131e-14
5.0625        	3.888562e-14
5.125         	8.103555e-14
5.1875        	1.663443e-13
5.25          	3.364504e-13
5.3125        	6.708806e-13
5.375         	1.319266e-12
5.4375        	2.558910e-12
5.5           	4.896172e-12
5.5625        	9.246011e-12
5.625         	1.724251e-11
5.6875        	3.173883e-11
5.75          	5.769865e-11
5.8125        	1.036407e-10
5.875         	1.839350e-10
5.9375        	3.226493e-10
6             	5.593814e-10
6.0625        	9.587988e-10
6.125         	1.624521e-09
6.1875        	2.722713e-09
6.25          	4.513785e-09
6.3125        	7.404513e-09
6.375         	1.201785e-08
6.4375        	1.930221e-08
6.5           	3.068776e-08
6.5625        	4.829223e-08
6.625         	7.523077e-08
6.6875        	1.160385e-07
6.75          	1.772565e-07
6.8125        	2.682538e-07
6.875         	4.020583e-07
6.9375        	5.969044e-07
7             	8.779692e-07
7.0625        	1.279653e-06
7.125         	1.848264e-06
7.1875        	2.645217e-06
7.25          	3.752634e-06
7.3125        	5.276822e-06
