# Region type : patch outlet
# Faces       : 320
# Area        : 1.945339e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.2e-06       	0.000000e+00
2.64e-06      	0.000000e+00
4.368e-06     	0.000000e+00
6.4416e-06    	0.000000e+00
8.92992e-06   	0.000000e+00
1.19159e-05   	0.000000e+00
1.54991e-05   	0.000000e+00
1.97989e-05   	0.000000e+00
2.49587e-05   	0.000000e+00
3.11504e-05   	0.000000e+00
3.85805e-05   	0.000000e+00
4.74965e-05   	0.000000e+00
5.81958e-05   	0.000000e+00
7.1035e-05    	0.000000e+00
8.6442e-05    	0.000000e+00
0.00010493    	0.000000e+00
0.000127116   	0.000000e+00
0.00015374    	0.000000e+00
0.000185688   	0.000000e+00
0.000224025   	0.000000e+00
0.00027003    	0.000000e+00
0.000325236   	0.000000e+00
0.000391483   	0.000000e+00
0.00047098    	0.000000e+00
0.000566376   	0.000000e+00
0.00068085    	0.000000e+00
0.000818221   	0.000000e+00
0.000983063   	0.000000e+00
0.00118087    	0.000000e+00
0.00141824    	0.000000e+00
0.0017031     	0.000000e+00
0.00204491    	0.000000e+00
0.00245508    	0.000000e+00
0.0029473     	0.000000e+00
0.00353797    	0.000000e+00
0.00424679    	0.000000e+00
0.00509742    	0.000000e+00
0.00611825    	0.000000e+00
0.00734314    	0.000000e+00
0.00881286    	0.000000e+00
0.0105765     	0.000000e+00
0.0126925     	0.000000e+00
0.0152319     	0.000000e+00
0.0182788     	0.000000e+00
0.0219337     	0.000000e+00
0.0263197     	2.373947e-308
0.0315829     	-5.956264e-281
0.037896      	-9.533981e-252
0.0454717     	1.770331e-228
0.0545626     	-4.407430e-204
0.0654556     	2.843261e-183
0.0781408     	-4.827522e-166
0.0926169     	4.942839e-149
0.108866      	-2.405742e-133
0.126915      	-5.792748e-121
0.145031      	-6.619434e-111
0.163146      	3.330151e-104
0.18133       	4.730004e-100
0.199177      	6.981309e-96
0.216698      	4.583470e-93
0.233966      	1.470721e-91
0.251049      	2.593757e-90
0.268009      	3.019575e-89
0.284909      	2.744713e-88
0.301749      	2.055685e-87
0.318528      	1.316435e-86
0.335248      	7.348660e-86
0.351967      	3.784965e-85
0.368687      	2.388561e-85
0.385406      	-2.427938e-84
0.402126      	-1.747254e-83
0.418846      	-8.724491e-83
0.435626      	-4.186120e-82
0.452407      	-1.821442e-81
0.469188      	-7.251432e-81
0.485969      	-2.583059e-80
0.502749      	-7.923685e-80
0.519593      	-1.930470e-79
0.536437      	-1.205324e-79
0.55328       	2.049238e-78
0.570124      	1.667864e-77
0.586968      	9.170791e-77
0.603876      	4.418904e-76
0.620784      	1.907189e-75
0.637692      	7.669097e-75
0.6546        	2.925427e-74
0.671508      	1.069995e-73
0.688417      	3.778893e-73
0.705391      	1.324581e-72
0.722366      	4.489088e-72
0.739341      	1.483694e-71
0.756316      	4.802285e-71
0.77329       	1.526395e-70
0.790265      	4.774158e-70
0.80724       	1.471800e-69
0.824215      	4.478789e-69
0.841189      	1.367356e-68
0.858234      	4.146404e-68
0.875278      	1.229104e-67
0.892322      	3.586668e-67
0.909367      	1.039509e-66
0.926411      	2.958609e-66
0.943455      	8.301685e-66
0.960499      	2.300589e-65
0.977544      	6.306634e-65
0.994588      	1.713274e-64
1.01163       	4.619792e-64
1.02868       	1.237909e-63
1.04579       	3.354283e-63
1.06291       	8.996287e-63
1.08003       	2.392932e-62
1.09715       	6.311967e-62
1.11427       	1.650135e-61
1.13138       	4.273622e-61
1.1485        	1.096439e-60
1.16562       	2.787611e-60
1.18274       	7.027572e-60
1.19985       	1.758221e-59
1.21697       	4.369463e-59
1.23409       	1.079430e-58
1.25121       	2.652709e-58
1.26833       	6.488014e-58
1.28544       	1.579885e-57
1.30256       	3.831303e-57
1.31976       	9.413130e-57
1.33696       	2.295608e-56
1.35415       	5.570602e-56
1.37135       	1.346028e-55
1.38855       	3.239340e-55
1.40575       	7.765737e-55
1.42294       	1.854870e-54
1.44014       	4.415156e-54
1.45734       	1.047907e-53
1.47453       	2.481259e-53
1.49173       	5.867907e-53
1.50893       	1.386212e-52
1.52613       	3.272759e-52
1.54332       	7.726712e-52
1.56052       	1.824044e-51
1.57772       	4.305124e-51
1.59492       	1.015625e-50
1.61211       	2.393601e-50
1.62931       	5.631922e-50
1.64651       	1.322166e-49
1.66371       	3.095340e-49
1.6809        	7.223462e-49
1.6981        	1.679723e-48
1.7153        	3.891010e-48
1.7325        	8.976727e-48
1.74969       	2.062182e-47
1.76689       	4.716706e-47
1.78409       	1.074006e-46
1.80129       	2.434306e-46
1.81848       	5.491591e-46
1.83568       	1.232903e-45
1.85288       	2.754408e-45
1.87007       	6.123063e-45
1.88727       	1.354800e-44
1.90447       	2.982853e-44
1.92167       	6.535008e-44
1.93886       	1.424692e-43
1.95606       	3.090814e-43
1.97326       	6.673107e-43
1.99046       	1.433880e-42
2.00765       	3.066633e-42
2.02485       	6.528305e-42
2.04205       	1.383376e-41
2.05925       	2.918045e-41
2.07644       	6.127140e-41
2.09364       	1.280681e-40
2.11084       	2.664676e-40
