# Region type : patch outlet
# Faces       : 180
# Area        : 1.927305e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.2e-06       	0.000000e+00
2.64e-06      	0.000000e+00
4.368e-06     	0.000000e+00
6.4416e-06    	0.000000e+00
8.92992e-06   	0.000000e+00
1.19159e-05   	0.000000e+00
1.54991e-05   	0.000000e+00
1.97989e-05   	0.000000e+00
2.49587e-05   	0.000000e+00
3.11504e-05   	0.000000e+00
3.85805e-05   	0.000000e+00
4.74965e-05   	0.000000e+00
5.81958e-05   	0.000000e+00
7.1035e-05    	0.000000e+00
8.6442e-05    	0.000000e+00
0.00010493    	0.000000e+00
0.000127116   	0.000000e+00
0.00015374    	0.000000e+00
0.000185688   	0.000000e+00
0.000224025   	0.000000e+00
0.00027003    	0.000000e+00
0.000325236   	0.000000e+00
0.000391483   	0.000000e+00
0.00047098    	0.000000e+00
0.000566376   	0.000000e+00
0.00068085    	0.000000e+00
0.000818221   	0.000000e+00
0.000983063   	0.000000e+00
0.00118087    	0.000000e+00
0.00141824    	0.000000e+00
0.0017031     	0.000000e+00
0.00204491    	5.018621e-310
0.00245508    	-2.013298e-300
0.0029473     	6.709545e-289
0.00353797    	5.733319e-277
0.00424679    	6.312775e-267
0.00509742    	-4.278356e-255
0.00611825    	8.246024e-243
0.00734314    	-5.233485e-233
0.00881286    	4.333803e-221
0.0105765     	7.516600e-210
0.0126925     	-6.033139e-199
0.0152319     	-3.876138e-188
0.0182788     	1.889954e-176
0.0219337     	-5.931959e-165
0.0263197     	1.360221e-154
0.0315829     	9.574973e-144
0.037896      	-1.069083e-133
0.0454717     	7.799008e-123
0.0545626     	-4.737126e-112
0.0654797     	-1.937247e-101
0.0785686     	5.761755e-92
0.094292      	1.249670e-81
0.11316       	9.196900e-73
0.135784      	1.190069e-64
0.162511      	1.448617e-57
0.19352       	1.168888e-51
0.228862      	1.015372e-46
0.268622      	8.694089e-43
0.313257      	2.159396e-39
0.361574      	5.150050e-37
0.410919      	2.567772e-36
0.461349      	-9.909050e-36
0.511778      	-5.430817e-34
0.562208      	-3.306407e-33
0.612637      	-1.013928e-32
0.663066      	-8.513799e-33
0.713496      	9.775690e-32
0.763925      	7.338978e-31
0.814355      	3.388637e-30
0.865399      	1.284829e-29
0.916444      	4.243577e-29
0.967488      	1.267184e-28
1.01853       	3.507022e-28
1.06958       	9.138260e-28
1.12062       	2.272197e-27
1.17167       	5.452324e-27
1.22271       	1.275650e-26
1.27375       	2.938667e-26
1.3248        	6.727609e-26
1.37584       	1.543225e-25
1.42689       	3.569573e-25
1.47793       	8.357921e-25
1.52898       	1.983384e-24
1.58002       	4.762516e-24
1.63032       	1.133365e-23
1.68061       	2.702342e-23
1.7309        	6.440558e-23
1.7812        	1.530210e-22
1.83149       	3.616052e-22
1.88178       	8.483710e-22
1.93208       	1.973300e-21
1.98237       	4.545767e-21
2.03267       	1.036397e-20
2.08296       	2.337738e-20
2.13325       	5.216713e-20
2.18355       	1.151946e-19
2.23384       	2.518686e-19
2.28413       	5.456934e-19
2.33443       	1.172819e-18
2.38472       	2.503044e-18
2.43502       	5.311003e-18
2.48531       	1.121240e-17
2.5356        	2.356663e-17
2.5859        	4.932282e-17
2.63619       	1.028218e-16
2.68649       	2.134039e-16
2.73678       	4.388351e-16
2.78707       	8.931343e-16
2.83737       	1.796240e-15
2.88766       	3.569864e-15
2.93795       	7.011269e-15
2.98825       	1.359942e-14
3.03854       	2.603618e-14
3.08884       	4.918126e-14
3.13913       	9.164642e-14
3.18942       	1.684888e-13
3.23972       	3.057174e-13
3.29001       	5.477904e-13
3.3403        	9.701803e-13
3.3906        	1.700431e-12
3.44089       	2.953898e-12
3.49119       	5.094959e-12
3.54148       	8.742595e-12
3.59177       	1.495550e-11
3.64207       	2.555374e-11
3.69236       	4.367980e-11
3.74266       	7.477165e-11
3.79295       	1.282322e-10
3.84324       	2.202507e-10
3.89354       	3.785203e-10
3.94383       	6.500072e-10
3.99412       	1.113529e-09
4.04442       	1.899756e-09
4.09471       	3.222663e-09
4.14501       	5.427919e-09
4.1953        	9.066395e-09
4.24559       	1.500401e-08
4.29589       	2.458316e-08
4.34618       	3.985652e-08
4.39647       	6.392012e-08
4.44677       	1.013785e-07
4.49706       	1.589904e-07
4.54736       	2.465472e-07
4.59765       	3.780612e-07
4.64794       	5.733191e-07
4.69824       	8.599708e-07
4.74853       	1.276105e-06
4.79882       	1.873710e-06
4.84912       	2.723011e-06
4.89941       	3.917419e-06
4.94971       	5.580465e-06
5             	7.873391e-06
5.05051       	1.102065e-05
5.10101       	1.528080e-05
5.15152       	2.099182e-05
5.20202       	2.857741e-05
5.25253       	3.855236e-05
5.30303       	5.155879e-05
5.35354       	6.837053e-05
5.40404       	8.991150e-05
5.45455       	1.172698e-04
5.50505       	1.517131e-04
5.55556       	1.947008e-04
5.60606       	2.479114e-04
5.65657       	3.132687e-04
5.70707       	3.928776e-04
5.75758       	4.890866e-04
5.80808       	6.044336e-04
5.85859       	7.416465e-04
5.90909       	9.036060e-04
5.9596        	1.093335e-03
