# Region type : patch outlet
# Faces       : 320
# Area        : 1.945339e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.2e-06       	0.000000e+00
2.64e-06      	0.000000e+00
4.368e-06     	0.000000e+00
6.4416e-06    	0.000000e+00
8.92992e-06   	0.000000e+00
1.19159e-05   	0.000000e+00
1.54991e-05   	0.000000e+00
1.97989e-05   	0.000000e+00
2.49587e-05   	0.000000e+00
3.11504e-05   	0.000000e+00
3.85805e-05   	0.000000e+00
4.74965e-05   	0.000000e+00
5.81958e-05   	0.000000e+00
7.1035e-05    	0.000000e+00
8.6442e-05    	0.000000e+00
0.00010493    	0.000000e+00
0.000127116   	0.000000e+00
0.00015374    	0.000000e+00
0.000185688   	0.000000e+00
0.000224025   	0.000000e+00
0.00027003    	0.000000e+00
0.000325236   	0.000000e+00
0.000391483   	0.000000e+00
0.00047098    	0.000000e+00
0.000566376   	0.000000e+00
0.00068085    	0.000000e+00
0.000818221   	0.000000e+00
0.000983063   	0.000000e+00
0.00118087    	0.000000e+00
0.00141824    	0.000000e+00
0.0017031     	0.000000e+00
0.00204491    	0.000000e+00
0.00245508    	0.000000e+00
0.0029473     	0.000000e+00
0.00353797    	0.000000e+00
0.00424679    	0.000000e+00
0.00509742    	0.000000e+00
0.00611825    	0.000000e+00
0.00734314    	0.000000e+00
0.00881286    	0.000000e+00
0.0105765     	0.000000e+00
0.0126925     	0.000000e+00
0.0152319     	-2.791966e-309
0.0182788     	-2.440277e-284
0.0219337     	1.397584e-260
0.0263197     	-3.000607e-236
0.0315829     	-5.201933e-214
0.037896      	4.844937e-192
0.0454717     	1.300049e-171
0.0545626     	9.072831e-153
0.0654556     	2.140744e-135
0.0781408     	2.045147e-121
0.0926169     	6.047704e-110
0.108866      	1.299550e-100
0.126915      	1.033993e-92
0.145031      	1.393168e-89
0.163146      	1.692628e-87
0.18133       	-1.233073e-85
0.199177      	-8.697241e-84
0.216698      	-1.065237e-82
0.233966      	-5.078433e-82
0.251049      	5.780869e-82
0.268009      	3.171348e-80
0.284909      	2.936931e-79
0.301749      	1.866525e-78
0.318528      	9.644856e-78
0.335308      	4.451644e-77
0.352027      	1.837706e-76
0.368746      	7.130938e-76
0.385466      	2.594032e-75
0.402185      	8.908550e-75
0.418965      	2.979947e-74
0.435746      	9.495212e-74
0.452526      	2.920748e-73
0.469306      	8.751585e-73
0.486087      	2.553518e-72
0.50293       	7.438641e-72
0.519773      	2.124046e-71
0.536616      	5.979824e-71
0.553459      	1.662904e-70
0.570302      	4.571483e-70
0.587209      	1.260159e-69
0.604116      	3.419264e-69
0.621023      	9.149666e-69
0.637931      	2.415865e-68
0.654838      	6.294682e-68
0.671745      	1.618780e-67
0.688652      	4.111861e-67
0.705626      	1.043979e-66
0.7226        	2.609365e-66
0.739574      	6.432789e-66
0.756548      	1.564909e-65
0.773521      	3.756880e-65
0.790495      	8.898312e-65
0.807469      	2.078752e-64
0.824443      	4.788280e-64
0.841417      	1.087349e-63
0.85846       	2.451383e-63
0.875503      	5.441495e-63
0.892547      	1.189946e-62
0.90959       	2.564377e-62
0.926633      	5.448537e-62
0.943677      	1.141991e-61
0.96072       	2.363134e-61
0.977764      	4.832730e-61
0.994807      	9.778898e-61
1.01185       	1.960654e-60
1.02889       	3.900419e-60
1.04601       	7.751951e-60
1.06313       	1.532474e-59
1.08024       	3.017371e-59
1.09736       	5.921761e-59
1.11448       	1.158555e-58
1.13159       	2.258656e-58
1.14871       	4.383462e-58
1.16583       	8.455178e-58
1.18295       	1.617570e-57
1.20006       	3.061398e-57
1.21718       	5.714356e-57
1.2343        	1.048071e-56
1.25141       	1.879880e-56
1.26853       	3.276014e-56
1.28565       	5.491795e-56
1.30276       	8.706397e-56
1.31996       	1.271120e-55
1.33716       	1.560482e-55
1.35435       	1.116911e-55
1.37155       	-1.770832e-55
1.38875       	-1.136895e-54
1.40594       	-3.766122e-54
1.42314       	-1.029312e-53
1.44033       	-2.549509e-53
1.45753       	-5.922662e-53
1.47473       	-1.310012e-52
1.49192       	-2.776218e-52
1.50912       	-5.641163e-52
1.52632       	-1.094243e-51
1.54351       	-2.003047e-51
1.56071       	-3.373460e-51
1.57791       	-4.907845e-51
1.5951        	-4.899297e-51
1.6123        	2.667381e-51
1.6295        	3.578797e-50
1.64669       	1.439051e-49
1.66389       	4.557994e-49
1.68109       	1.294600e-48
1.69828       	3.448690e-48
1.71548       	8.799525e-48
1.73267       	2.175652e-47
1.74987       	5.249649e-47
1.76707       	1.241987e-46
1.78426       	2.890465e-46
1.80146       	6.633017e-46
1.81866       	1.503558e-45
1.83585       	3.371253e-45
1.85305       	7.485069e-45
1.87025       	1.647072e-44
1.88744       	3.594624e-44
1.90464       	7.785332e-44
1.92184       	1.674181e-43
1.93903       	3.576149e-43
1.95623       	7.590621e-43
1.97342       	1.601503e-42
1.99062       	3.359621e-42
2.00782       	7.009303e-42
2.02501       	1.454723e-41
2.04221       	3.003972e-41
2.05941       	6.173102e-41
2.0766        	1.262636e-40
2.0938        	2.570929e-40
2.111         	5.212005e-40
