# Region type : patch outlet
# Faces       : 320
# Area        : 1.945338e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.2e-06       	0.000000e+00
2.64e-06      	0.000000e+00
4.368e-06     	0.000000e+00
6.4416e-06    	0.000000e+00
8.92992e-06   	0.000000e+00
1.19159e-05   	0.000000e+00
1.54991e-05   	0.000000e+00
1.97989e-05   	0.000000e+00
2.49587e-05   	0.000000e+00
3.11504e-05   	0.000000e+00
3.85805e-05   	0.000000e+00
4.74965e-05   	0.000000e+00
5.81958e-05   	0.000000e+00
7.1035e-05    	0.000000e+00
8.6442e-05    	0.000000e+00
0.00010493    	0.000000e+00
0.000127116   	0.000000e+00
0.00015374    	0.000000e+00
0.000185688   	0.000000e+00
0.000224025   	0.000000e+00
0.00027003    	0.000000e+00
0.000325236   	0.000000e+00
0.000391483   	0.000000e+00
0.00047098    	0.000000e+00
0.000566376   	0.000000e+00
0.00068085    	0.000000e+00
0.000818221   	0.000000e+00
0.000983063   	0.000000e+00
0.00118087    	0.000000e+00
0.00141824    	0.000000e+00
0.0017031     	0.000000e+00
0.00204491    	0.000000e+00
0.00245508    	0.000000e+00
0.0029473     	0.000000e+00
0.00353797    	0.000000e+00
0.00424679    	0.000000e+00
0.00509742    	0.000000e+00
0.00611825    	0.000000e+00
0.00734314    	0.000000e+00
0.00881286    	0.000000e+00
0.0105765     	0.000000e+00
0.0126925     	0.000000e+00
0.0152319     	0.000000e+00
0.0182788     	0.000000e+00
0.0219337     	0.000000e+00
0.0263197     	0.000000e+00
0.0315829     	0.000000e+00
0.037896      	1.872761e-298
0.0454717     	4.206360e-272
0.0545626     	1.340866e-247
0.0654797     	2.213639e-224
0.0785686     	-1.409631e-200
0.094292      	-1.038376e-179
0.11316       	-4.164415e-157
0.135784      	-5.366573e-136
0.162808      	-3.555454e-117
0.194015      	5.660155e-98
0.229096      	-4.225407e-85
0.267263      	-2.211511e-76
0.304529      	5.442975e-72
0.340928      	1.847070e-69
0.377044      	-6.107957e-67
0.412881      	-1.444596e-65
0.448718      	-1.447928e-64
0.484275      	-6.314655e-64
0.519281      	1.436591e-63
0.554015      	4.648459e-62
0.58848       	4.331538e-61
0.622678      	2.796171e-60
0.656876      	1.474408e-59
0.691073      	6.556676e-59
0.725271      	2.517556e-58
0.759469      	8.260870e-58
0.793393      	2.126026e-57
0.827318      	3.920576e-57
0.86152       	-6.996733e-58
0.895722      	-5.176976e-56
0.929924      	-3.255002e-55
0.964127      	-1.491071e-54
0.998329      	-5.860799e-54
1.03253       	-2.089728e-53
1.06673       	-6.947149e-53
1.10094       	-2.189143e-52
1.13514       	-6.623390e-52
1.16934       	-1.936433e-51
1.20354       	-5.500343e-51
1.23775       	-1.522505e-50
1.27195       	-4.114667e-50
1.30615       	-1.083512e-49
1.34035       	-2.768084e-49
1.37455       	-6.806773e-49
1.40876       	-1.588380e-48
1.44296       	-3.421791e-48
1.47716       	-6.380814e-48
1.51136       	-8.197982e-48
1.54557       	5.352093e-48
1.57977       	9.528482e-47
1.61397       	4.873010e-46
1.64817       	1.949483e-45
1.68238       	6.953567e-45
1.71658       	2.313068e-44
1.75078       	7.328144e-44
1.78498       	2.237132e-43
1.81918       	6.628946e-43
1.85339       	1.916023e-42
1.88759       	5.421491e-42
1.92179       	1.505885e-41
1.95599       	4.114955e-41
1.9902        	1.108189e-40
2.0244        	2.945718e-40
2.0586        	7.738287e-40
2.0928        	2.011184e-39
2.12701       	5.176290e-39
2.16121       	1.319726e-38
2.19541       	3.337381e-38
2.22961       	8.375610e-38
2.26381       	2.087185e-37
2.29802       	5.167227e-37
2.33222       	1.271438e-36
2.36642       	3.110504e-36
2.40062       	7.568322e-36
2.43483       	1.831958e-35
2.46903       	4.412401e-35
2.50323       	1.057688e-34
2.53743       	2.523627e-34
2.57164       	5.994147e-34
2.60584       	1.417420e-33
2.64004       	3.337078e-33
2.67424       	7.822545e-33
2.70844       	1.825817e-32
2.74265       	4.243311e-32
2.77685       	9.819800e-32
2.81105       	2.262894e-31
2.84525       	5.192874e-31
2.87946       	1.186742e-30
2.91366       	2.701083e-30
2.94786       	6.123311e-30
2.98206       	1.382732e-29
3.01627       	3.110521e-29
3.05047       	6.971249e-29
3.08467       	1.556707e-28
3.11887       	3.463804e-28
3.15307       	7.680230e-28
3.18728       	1.697011e-27
3.22148       	3.736714e-27
3.25568       	8.199459e-27
3.28988       	1.792900e-26
3.32409       	3.906430e-26
3.35829       	8.480642e-26
3.39249       	1.834298e-25
3.42669       	3.952497e-25
3.4609        	8.484092e-25
3.4951        	1.814040e-24
3.5293        	3.863485e-24
3.5635        	8.195850e-24
3.59771       	1.731768e-23
3.63191       	3.644788e-23
3.66611       	7.640999e-23
3.70031       	1.595629e-22
3.73451       	3.319131e-22
3.76872       	6.877487e-22
3.80292       	1.419522e-21
3.83712       	2.918406e-21
3.87132       	5.976029e-21
3.90553       	1.218713e-20
3.93973       	2.474876e-20
3.97393       	5.003782e-20
4.00813       	1.007053e-19
4.04234       	2.017065e-19
4.07654       	4.019767e-19
