# Region type : patch outlet
# Faces      : 320
# Area       : 1.94534e-05
# Scale factor: 1.00000e+00
# Time       	areaAverage(s)
1.2e-06      	0.00000e+00
2.64e-06     	0.00000e+00
4.368e-06    	0.00000e+00
6.4416e-06   	0.00000e+00
8.92992e-06  	0.00000e+00
1.19159e-05  	0.00000e+00
1.54991e-05  	0.00000e+00
1.97989e-05  	0.00000e+00
2.49587e-05  	0.00000e+00
3.11504e-05  	0.00000e+00
3.85805e-05  	0.00000e+00
4.74965e-05  	0.00000e+00
5.81958e-05  	0.00000e+00
7.1035e-05   	0.00000e+00
8.6442e-05   	0.00000e+00
0.00010493   	0.00000e+00
0.000127116  	0.00000e+00
0.00015374   	0.00000e+00
0.000185688  	0.00000e+00
0.000224025  	0.00000e+00
0.00027003   	0.00000e+00
0.000325236  	0.00000e+00
0.000391483  	0.00000e+00
0.00047098   	0.00000e+00
0.000566376  	0.00000e+00
0.00068085   	0.00000e+00
0.000818221  	0.00000e+00
0.000983063  	0.00000e+00
0.00118087   	0.00000e+00
0.00141824   	0.00000e+00
0.0017031    	0.00000e+00
0.00204491   	0.00000e+00
0.00245508   	0.00000e+00
0.0029473    	0.00000e+00
0.00353797   	0.00000e+00
0.00424679   	0.00000e+00
0.00509742   	0.00000e+00
0.00611825   	0.00000e+00
0.00734314   	0.00000e+00
0.00881286   	0.00000e+00
0.0105765    	0.00000e+00
0.0126925    	0.00000e+00
0.0152319    	0.00000e+00
0.0182788    	0.00000e+00
0.0219337    	2.53974e-318
0.0263197    	-5.37958e-292
0.0315829    	-1.08650e-266
0.037896     	1.96128e-240
0.0454717    	2.35888e-216
0.0545626    	1.01502e-193
0.0654797    	1.92584e-172
0.0785686    	1.51508e-152
0.094292     	5.46489e-134
0.11316      	3.37404e-117
0.135784     	6.41516e-102
0.162808     	1.18354e-88
0.194015     	1.46966e-78
0.229096     	3.54289e-71
0.267263     	6.73764e-66
0.304529     	-2.43948e-64
0.340928     	-2.39689e-62
0.377044     	-2.68537e-61
0.412881     	-1.93308e-60
0.44844      	-1.07970e-59
0.483999     	-5.39927e-59
0.519007     	-2.28763e-58
0.553743     	-8.81612e-58
0.588211     	-3.11224e-57
0.622411     	-1.01240e-56
0.65661      	-3.06052e-56
0.69081      	-8.57098e-56
0.72501      	-2.20619e-55
0.75921      	-5.11937e-55
0.793137     	-1.04462e-54
0.827063     	-1.63249e-54
0.861267     	-4.23546e-55
0.895472     	1.03586e-53
0.929676     	5.91951e-53
0.96388      	2.38901e-52
0.998085     	8.31137e-52
1.03229      	2.64799e-51
1.06649      	7.94339e-51
1.1007       	2.27963e-50
1.1349       	6.32801e-50
1.16911      	1.71333e-49
1.20331      	4.55698e-49
1.23752      	1.19794e-48
1.27172      	3.12888e-48
1.30592      	8.15448e-48
1.34013      	2.12704e-47
1.37433      	5.56321e-47
1.40854      	1.45958e-46
1.44274      	3.83962e-46
1.47695      	1.01137e-45
1.51115      	2.66331e-45
1.54536      	6.99941e-45
1.57956      	1.83298e-44
1.61376      	4.77674e-44
1.64797      	1.23749e-43
1.68217      	3.18466e-43
1.71638      	8.13732e-43
1.75058      	2.06382e-42
1.78479      	5.19501e-42
1.81899      	1.29804e-41
1.85319      	3.21924e-41
1.8874       	7.92600e-41
1.9216       	1.93741e-40
1.95581      	4.70341e-40
1.99001      	1.13435e-39
2.02422      	2.71869e-39
2.05842      	6.47741e-39
2.09263      	1.53466e-38
2.12683      	3.61689e-38
2.16103      	8.48214e-38
2.19524      	1.97998e-37
2.22944      	4.60188e-37
2.26365      	1.06528e-36
2.29785      	2.45682e-36
2.33206      	5.64652e-36
2.36626      	1.29355e-35
2.40047      	2.95443e-35
2.43467      	6.72837e-35
2.46887      	1.52805e-34
2.50308      	3.46083e-34
2.53728      	7.81694e-34
2.57149      	1.76075e-33
2.60569      	3.95493e-33
2.6399       	8.85782e-33
2.6741       	1.97802e-32
2.7083       	4.40367e-32
2.74251      	9.77361e-32
2.77671      	2.16240e-31
2.81092      	4.76927e-31
2.84512      	1.04861e-30
2.87933      	2.29851e-30
2.91353      	5.02325e-30
2.94774      	1.09466e-29
2.98194      	2.37894e-29
3.01614      	5.15662e-29
3.05035      	1.11504e-28
3.08455      	2.40560e-28
3.11876      	5.17872e-28
3.15296      	1.11259e-27
3.18717      	2.38558e-27
3.22137      	5.10527e-27
3.25558      	1.09046e-26
3.28978      	2.32462e-26
3.32398      	4.94555e-26
3.35819      	1.04991e-25
3.39239      	2.22388e-25
3.4266       	4.69927e-25
3.4608       	9.90490e-25
3.49501      	2.08215e-24
3.52921      	4.36480e-24
3.56342      	9.12356e-24
3.59762      	1.90143e-23
3.63182      	3.95082e-23
3.66603      	8.18415e-23
3.70023      	1.69017e-22
3.73444      	3.47980e-22
3.76864      	7.14231e-22
3.80285      	1.46142e-21
3.83705      	2.98089e-21
3.87125      	6.06067e-21
3.90546      	1.22816e-20
3.93966      	2.48021e-20
3.97387      	4.99044e-20
4.00807      	1.00026e-19
4.04228      	1.99661e-19
4.07648      	3.96793e-19
4.11069      	7.84873e-19
4.14489      	1.54485e-18
4.17909      	3.02501e-18
4.2133       	5.89175e-18
4.2475       	1.14132e-17
4.28171      	2.19876e-17
4.31591      	4.21221e-17
4.35012      	8.02258e-17
4.38432      	1.51898e-16
4.41853      	2.85980e-16
4.45273      	5.34712e-16
4.48693      	9.92146e-16
4.52114      	1.82737e-15
4.55534      	3.34100e-15
4.58955      	6.06505e-15
4.62375      	1.09330e-14
4.65796      	1.95668e-14
4.69216      	3.47648e-14
4.72636      	6.13170e-14
4.76057      	1.07352e-13
4.79477      	1.86558e-13
4.82898      	3.21799e-13
4.86318      	5.50950e-13
4.89739      	9.36268e-13
4.93159      	1.57926e-12
4.9658       	2.64413e-12
5            	4.39442e-12
5.03425      	7.25550e-12
5.06849      	1.18917e-11
5.10274      	1.93486e-11
5.13699      	3.12545e-11
5.17123      	5.01250e-11
5.20548      	7.98171e-11
5.23973      	1.26200e-10
5.27397      	1.98140e-10
5.30822      	3.08924e-10
5.34247      	4.78322e-10
5.37671      	7.35529e-10
5.41096      	1.12334e-09
5.44521      	1.70402e-09
5.47945      	2.56748e-09
5.5137       	3.84264e-09
5.54795      	5.71293e-09
5.58219      	8.43748e-09
5.61644      	1.23796e-08
5.65068      	1.80452e-08
5.68493      	2.61329e-08
5.71918      	3.76018e-08
5.75342      	5.37583e-08
5.78767      	7.63683e-08
5.82192      	1.07806e-07
5.85616      	1.51236e-07
5.89041      	2.10852e-07
