# Region type : patch outlet
# Faces       : 320
# Area        : 1.945340e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.2e-06       	0.000000e+00
2.64e-06      	0.000000e+00
4.368e-06     	0.000000e+00
6.4416e-06    	0.000000e+00
8.92992e-06   	0.000000e+00
1.19159e-05   	0.000000e+00
1.54991e-05   	0.000000e+00
1.97989e-05   	0.000000e+00
2.49587e-05   	0.000000e+00
3.11504e-05   	0.000000e+00
3.85805e-05   	0.000000e+00
4.74965e-05   	0.000000e+00
5.81958e-05   	0.000000e+00
7.1035e-05    	0.000000e+00
8.6442e-05    	0.000000e+00
0.00010493    	0.000000e+00
0.000127116   	0.000000e+00
0.00015374    	0.000000e+00
0.000185688   	0.000000e+00
0.000224025   	0.000000e+00
0.00027003    	0.000000e+00
0.000325236   	0.000000e+00
0.000391483   	0.000000e+00
0.00047098    	0.000000e+00
0.000566376   	0.000000e+00
0.00068085    	0.000000e+00
0.000818221   	0.000000e+00
0.000983063   	0.000000e+00
0.00118087    	0.000000e+00
0.00141824    	0.000000e+00
0.0017031     	0.000000e+00
0.00204491    	0.000000e+00
0.00245508    	0.000000e+00
0.0029473     	0.000000e+00
0.00353797    	0.000000e+00
0.00424679    	0.000000e+00
0.00509742    	0.000000e+00
0.00611825    	0.000000e+00
0.00734314    	0.000000e+00
0.00881286    	0.000000e+00
0.0105765     	4.121052e-306
0.0126925     	-7.620603e-288
0.0152319     	-2.188617e-270
0.0182788     	1.708551e-254
0.0219337     	3.538081e-239
0.0263197     	-2.669365e-222
0.0315829     	-6.624350e-206
0.037896      	1.312129e-187
0.0454717     	-1.554812e-168
0.0545626     	-3.541384e-153
0.0654797     	1.397814e-140
0.0785686     	2.225023e-123
0.094292      	-8.165085e-108
0.11316       	1.609669e-93
0.135784      	-4.879552e-80
0.162077      	8.143686e-67
0.192127      	-2.763665e-58
0.225985      	-2.154056e-52
0.263576      	-1.955246e-49
0.300292      	6.320404e-45
0.336724      	1.312746e-43
0.372873      	-9.546735e-43
0.408742      	-1.564277e-41
0.444894      	-1.009156e-40
0.481046      	-3.749536e-40
0.517489      	-6.928396e-40
0.554231      	1.194385e-39
0.591279      	2.580840e-38
0.628641      	7.127845e-38
0.666325      	-6.250097e-37
0.704009      	-8.035541e-36
0.742027      	-6.566059e-35
0.780044      	-4.352730e-34
0.818408      	-2.357664e-33
0.856771      	-1.035947e-32
0.895134      	-3.247718e-32
0.933497      	-2.831653e-32
0.971861      	5.517217e-31
1.01022       	5.613221e-30
1.04859       	3.716951e-29
1.08695       	2.034598e-28
1.12531       	9.877495e-28
1.16368       	4.392764e-27
1.20204       	1.822827e-26
1.2404        	7.143068e-26
1.27877       	2.665505e-25
1.31713       	9.530786e-25
1.35549       	3.280644e-24
1.39386       	1.093156e-23
1.43222       	3.528881e-23
1.47058       	1.106456e-22
1.50895       	3.376059e-22
1.54731       	1.004028e-21
1.58567       	2.914109e-21
1.62404       	8.264669e-21
1.6624        	2.293150e-20
1.70076       	6.233182e-20
1.73913       	1.662246e-19
1.77749       	4.355877e-19
1.81585       	1.123525e-18
1.85421       	2.857848e-18
1.89258       	7.181682e-18
1.93094       	1.785982e-17
1.9693        	4.401613e-17
2.00767       	1.076107e-16
2.04603       	2.612542e-16
2.08439       	6.296932e-16
2.12276       	1.504228e-15
2.16112       	3.563585e-15
2.19948       	8.371796e-15
2.23785       	1.948618e-14
2.27621       	4.489726e-14
2.31457       	1.022907e-13
2.35294       	2.302390e-13
2.3913        	5.114343e-13
2.42966       	1.120498e-12
2.46803       	2.419912e-12
2.50639       	5.149352e-12
2.54475       	1.079246e-11
2.58312       	2.227399e-11
2.62148       	4.526037e-11
2.65984       	9.053727e-11
2.69821       	1.782915e-10
2.73657       	3.456489e-10
2.77493       	6.597656e-10
2.8133        	1.240111e-09
2.85166       	2.295753e-09
2.89002       	4.186549e-09
2.92839       	7.522006e-09
2.96675       	1.331856e-08
3.00511       	2.324464e-08
3.04348       	3.999597e-08
3.08184       	6.786313e-08
3.1202        	1.135713e-07
3.15856       	1.875139e-07
3.19693       	3.054971e-07
3.23529       	4.912392e-07
3.27365       	7.797800e-07
3.31202       	1.222218e-06
3.35038       	1.891920e-06
3.38874       	2.892796e-06
3.42711       	4.369964e-06
3.46547       	6.523403e-06
3.50383       	9.624741e-06
3.5422        	1.403784e-05
3.58056       	2.024342e-05
3.61892       	2.886900e-05
3.65729       	4.072005e-05
3.69565       	5.681861e-05
3.73401       	7.844180e-05
3.77238       	1.071645e-04
3.81074       	1.449015e-04
3.8491        	1.939477e-04
3.88747       	2.570083e-04
3.92583       	3.372318e-04
3.96419       	4.382231e-04
4.00256       	5.640415e-04
4.04092       	7.191916e-04
4.07928       	9.085681e-04
4.11765       	1.137396e-03
4.15601       	1.411148e-03
4.19437       	1.735390e-03
4.23274       	2.115680e-03
4.2711        	2.557362e-03
4.30946       	3.065399e-03
4.34783       	3.644128e-03
4.38619       	4.297061e-03
4.42455       	5.026797e-03
4.46291       	5.834492e-03
4.50128       	6.720030e-03
4.53964       	7.681717e-03
