# Region type : patch outlet
# Faces       : 320
# Area        : 1.945340e-05
# Scale factor: 1.000000e+00
# Time        	areaAverage(s)
1.2e-06       	0.000000e+00
2.64e-06      	0.000000e+00
4.368e-06     	0.000000e+00
6.4416e-06    	0.000000e+00
8.92992e-06   	0.000000e+00
1.19159e-05   	0.000000e+00
1.54991e-05   	0.000000e+00
1.97989e-05   	0.000000e+00
2.49587e-05   	0.000000e+00
3.11504e-05   	0.000000e+00
3.85805e-05   	0.000000e+00
4.74965e-05   	0.000000e+00
5.81958e-05   	0.000000e+00
7.1035e-05    	0.000000e+00
8.6442e-05    	0.000000e+00
0.00010493    	0.000000e+00
0.000127116   	0.000000e+00
0.00015374    	0.000000e+00
0.000185688   	0.000000e+00
0.000224025   	0.000000e+00
0.00027003    	0.000000e+00
0.000325236   	0.000000e+00
0.000391483   	0.000000e+00
0.00047098    	0.000000e+00
0.000566376   	0.000000e+00
0.00068085    	0.000000e+00
0.000818221   	0.000000e+00
0.000983063   	0.000000e+00
0.00118087    	0.000000e+00
0.00141824    	0.000000e+00
0.0017031     	0.000000e+00
0.00204491    	0.000000e+00
0.00245508    	0.000000e+00
0.0029473     	0.000000e+00
0.00353797    	0.000000e+00
0.00424679    	0.000000e+00
0.00509742    	0.000000e+00
0.00611825    	2.285765e-318
0.00734314    	-3.508441e-300
0.00881286    	2.342491e-283
0.0105765     	-1.777335e-265
0.0126925     	-5.584517e-248
0.0152319     	1.179337e-229
0.0182788     	-8.835138e-213
0.0219337     	4.425982e-196
0.0263197     	-2.263939e-179
0.0315829     	-2.348373e-162
0.037896      	-2.595940e-147
0.0454717     	9.377305e-132
0.0545626     	1.774243e-117
0.0654797     	3.361462e-104
0.0785686     	6.957307e-92
0.094292      	1.188155e-80
0.11316       	1.680475e-70
0.135784      	1.605464e-61
0.162077      	1.543241e-54
0.192127      	3.969080e-49
0.225985      	7.180211e-45
0.263576      	1.197977e-41
0.300292      	-1.903248e-40
0.336724      	-1.911620e-39
0.372873      	-8.470711e-39
0.408742      	-2.363187e-38
0.444894      	-2.765268e-38
0.481046      	1.732406e-37
0.517489      	1.499704e-36
0.554231      	7.436584e-36
0.591279      	2.940282e-35
0.628641      	1.045082e-34
0.666325      	3.731494e-34
0.704009      	1.570943e-33
0.742027      	7.525692e-33
0.780044      	3.848988e-32
0.818408      	1.958870e-31
0.856771      	9.582495e-31
0.895134      	4.413862e-30
0.933497      	1.907820e-29
0.971861      	7.781387e-29
1.01022       	3.016246e-28
1.04859       	1.118192e-27
1.08695       	3.986355e-27
1.12531       	1.372665e-26
1.16368       	4.585144e-26
1.20204       	1.490580e-25
1.2404        	4.727914e-25
1.27877       	1.466994e-24
1.31713       	4.463411e-24
1.35549       	1.333243e-23
1.39386       	3.914745e-23
1.43222       	1.130522e-22
1.47058       	3.211925e-22
1.50895       	8.977527e-22
1.54731       	2.468831e-21
1.58567       	6.678826e-21
1.62404       	1.777395e-20
1.6624        	4.652650e-20
1.70076       	1.198276e-19
1.73913       	3.037050e-19
1.77749       	7.579214e-19
1.81585       	1.864289e-18
1.85421       	4.525550e-18
1.89258       	1.085746e-17
1.93094       	2.578526e-17
1.9693        	6.071018e-17
2.00767       	1.419407e-16
2.04603       	3.301853e-16
2.08439       	7.640947e-16
2.12276       	1.758479e-15
2.16112       	4.030202e-15
2.19948       	9.199318e-15
2.23785       	2.090086e-14
2.27621       	4.721051e-14
2.31457       	1.058786e-13
2.35294       	2.354233e-13
2.3913        	5.182625e-13
2.42966       	1.128077e-12
2.46803       	2.424892e-12
2.50639       	5.143451e-12
2.54475       	1.075760e-11
2.58312       	2.217421e-11
2.62148       	4.502531e-11
2.65984       	9.004226e-11
2.69821       	1.773317e-10
2.73657       	3.438708e-10
2.77493       	6.566214e-10
2.8133        	1.234767e-09
2.85166       	2.286945e-09
2.89002       	4.172530e-09
2.92839       	7.500458e-09
2.96675       	1.328646e-08
3.00511       	2.319876e-08
3.04348       	3.993322e-08
3.08184       	6.778249e-08
3.1202        	1.134735e-07
3.15856       	1.874075e-07
3.19693       	3.053940e-07
3.23529       	4.911699e-07
3.27365       	7.797968e-07
3.31202       	1.222378e-06
3.35038       	1.892238e-06
3.38874       	2.893401e-06
3.42711       	4.370926e-06
3.46547       	6.524900e-06
3.50383       	9.626969e-06
3.5422        	1.404143e-05
3.58056       	2.024945e-05
3.61892       	2.887682e-05
3.65729       	4.072933e-05
3.69565       	5.683119e-05
3.73401       	7.845878e-05
3.77238       	1.071871e-04
3.81074       	1.449290e-04
3.8491        	1.939776e-04
3.88747       	2.570362e-04
3.92583       	3.372580e-04
3.96419       	4.382413e-04
4.00256       	5.640410e-04
4.04092       	7.191676e-04
4.07928       	9.084963e-04
4.11765       	1.137228e-03
4.15601       	1.410839e-03
4.19437       	1.734903e-03
4.23274       	2.115013e-03
4.2711        	2.556468e-03
4.30946       	3.064280e-03
4.34783       	3.642812e-03
4.38619       	4.295544e-03
4.42455       	5.025093e-03
4.46291       	5.832627e-03
4.50128       	6.718091e-03
4.53964       	7.679713e-03
4.578         	8.714234e-03
